Address,Zoning
10180 No 5 Rd,ASY
10200 No 5 Rd,ASY
10220 No 5 Rd,ASY
10251 St Edwards Dr,"CA, RS1/E"
10331 St Edwards Dr,"CA, RS1/E"
11391 No 3 Rd,ASY
11590 Cambie Rd,CC
11600 Cambie Rd,CC
11662 Steveston Hwy,"CC, IB1"
11668 Steveston Hwy,"CC, IB1"
11691 Thorpe Rd,CC
11700 Cambie Rd,CC
11720 Steveston Hwy,CC
11800 Cambie Rd,CC
12260 Blundell Rd,ASY
12771 7th Ave,"CC, SI"
14200 Entertainment Blvd,CEA
14211 Entertainment Blvd,CEA
14311 Entertainment Blvd,CEA
14331 Entertainment Blvd,CEA
14511 Steveston Hwy,CEA
2211 Great Canadian Way,CA
3051 St Edwards Dr,CA
3080 St Edwards Dr,CA
3086 St Edwards Dr,CA
3088 St Edwards Dr,CA
3300 Ketcheson Rd,"ASY, ZHR10"
3311 Ketcheson Rd,"ASY, ZHR10"
3551 No 3 Rd,CA
3571 No 3 Rd,CA
4061 No 5 Rd,CC
4093 No 5 Rd,CC
4101 No 5 Rd,CC
4111 No 5 Rd,CC
4115 No 5 Rd,CC
4117 No 5 Rd,CC
4119 No 5 Rd,CC
4121 No 5 Rd,CC
4131 No 5 Rd,CC
4160 No 3 Rd,CA
4451 No 3 Rd,CA
4540 No 3 Rd,CA
4580 No 3 Rd,CA
4653 Garden City Rd,CA
4751 Garden City Rd,"CA, CG1"
4771 Garden City Rd,"CA, CG1"
4935 No 3 Rd,CA
4951 No 3 Rd,CA
4955 No 3 Rd,CA
4971 No 3 Rd,CA
4975 No 3 Rd,CA
4991 No 3 Rd,CA
5180 Cantrell Rd,ASY
5660 Garrison Rd,ASY
5766 Gilbert Rd,CDT1
5766 Gilbert Rd,CDT1
5788 Gilbert Rd,CDT1
5855 Westminster Hwy,ASY
5890 No 3 Rd,CDT1
5900 Alderbridge Way,CDT1
5900 No 3 Rd,CDT1
5908 Alderbridge Way,CDT1
5911 Alderbridge Way,CDT1
5911 Cooney Rd,CDT1
5931 Alderbridge Way,CDT1
5933 Alderbridge Way,CDT1
5951 Minoru Blvd,CDT1
5971 No 3 Rd,CDT1
5991 Alderbridge Way,CDT1
5991 No 3 Rd,CDT1
6028 No 3 Rd,CDT1
6060 Blundell Rd,CC
6060 No 3 Rd,CDT1
6061 Gilbert Rd,CDT1
6071 Gilbert Rd,CDT1
6080 Minoru Blvd,CDT1
6081 No 3 Rd,CDT1
6088 Minoru Blvd,CDT1
6091 Gilbert Rd,CDT1
6100 Buswell St,CDT1
6111 No 3 Rd,CDT1
6119 Cooney Rd,CDT1
6133 Buswell St,CDT1
6151 No 3 Rd,CDT1
6168 No 3 Rd,CDT1
6200 Minoru Blvd,CDT1
6288 No 3 Rd,CDT1
6288 No 3 Rd,CDT1
6300 Minoru Blvd,CDT1
6300 No 3 Rd,CDT1
6331 Buswell St,CDT1
6451 Buswell St,CDT1
6500 Minoru Blvd,CDT1
6533 Park Rd,CDT1
6540 No 3 Rd,CDT1
6551 No 3 Rd,CDT1
6553 Park Rd,CDT1
6600 Minoru Blvd,CDT1
6680 No 3 Rd,CDT1
6720 No 3 Rd,CDT1
6730 No 3 Rd,CDT1
6733 Buswell St,CDT1
6788 Minoru Blvd,CDT1
6832 No 3 Rd,CDT1
6838 No 3 Rd,CDT1
6900 Minoru Blvd,CDT1
6910 No 3 Rd,CDT1
6916 No 3 Rd,CDT1
6930 No 3 Rd,CDT1
6950 No 3 Rd,CDT1
6970 No 3 Rd,CDT1
7120 Granville Ave,"ASY, RAM1"
7280 Westminster Hwy,CA
7360 Elmbridge Way,CDT1
7362 Elmbridge Way,CDT1
7373 Westminster Hwy,CDT1
7535 Alderbridge Way,CDT1
7557 Cst. Jimmy Ng Rd,CDT1
7575 Alderbridge Way,CDT1
7878 Westminster Hwy,CDT1
7888 Saba Rd,CDT1
